ItemID,ItemName,Description,Price,Available,Category,ImageURL
1,Krunch Burger,"Krunch fillet, spicy mayo, lettuce, sandwiched between a sesame seed bun",310,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260660/Restaurants/kfc/menu/1.png
2,Zingeratha,"Tender boneless strips, sliced onions, tangy imli chutney, mint mayo, wrapped in a soft paratha",390,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260662/Restaurants/kfc/menu/2.png
3,Rice & Spice,Spiced and buttery rice with 6 pcs of Hot Shots topped with our signature Vietnamese sauce,390,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260665/Restaurants/kfc/menu/3.png
4,Krunch Burger + Drink,1 Krunch burger + 1 Regular drink,410,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260668/Restaurants/kfc/menu/4.png
5,Boneless Strips,3 Chicken strips for a hassle free boneless experience,440,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260671/Restaurants/kfc/menu/5.png
6,Twister,"Tender boneless strips, black pepper mayo, diced tomatoes and lettuce- wrapped in a tortilla",440,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260673/Restaurants/kfc/menu/6.png
7,Krunch Combo,1 Krunch burger + 1 Regular fries + 1 Regular drink,590,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260679/Restaurants/kfc/menu/7.png
8,Chicken & Chips,2 pieces of Hot and Crispy Fried Chicken+ Fries + Dinner roll+ signature Vietnamese Sauce,620,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260682/Restaurants/kfc/menu/8.png
9,Krunch Chicken Combo,1 Krunch burger + 1 pc of Hot and Crispy Fried Chicken + 1 Regular drink,620,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260685/Restaurants/kfc/menu/9.png
10,3 Pcs Chicken,3 pieces of Hot and Crispy Fried Chicken,690,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260689/Restaurants/kfc/menu/10.png
11,Twister Combo,Twister + 1 Regular fries + 1 Regular drink,710,TRUE,Everyday Value,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260691/Restaurants/kfc/menu/11.png
12,Zinger Burger,"Our hero- crispy Zinger fillet, signature mayo and lettuce- sandwiched between a sesame seed bun",600,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260693/Restaurants/kfc/menu/12.png
13,Zinger Stacker,"Double krunch fillet, jalapenos, spicy mayo, lettuce and cheese with our signature Vietnamese sauce- sandwiched between a corn meal bun",660,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260697/Restaurants/kfc/menu/13.png
14,Kentucky Burger,"OG Zinger fillet layered with beef pepperoni, crispy fried onions, cheese and smokey BBQ sauce- sandwiched between an herb and black sesame bun",660,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260701/Restaurants/kfc/menu/14.png
15,Mighty Zinger,"Our signature Zinger but Bigger! Double Zinger fillet with a combination of spicy and plain mayo, lettuce and cheese- sandwiched between a sesame seed bun",770,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260704/Restaurants/kfc/menu/15.png
16,Zinger Combo,Zinger burger + 1 Regular fries+ 1 Regular drink,910,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260707/Restaurants/kfc/menu/16.png
17,Zinger Stacker Combo,1 Zinger Stacker + 1 Regular fries + 1 Regular drink,950,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260711/Restaurants/kfc/menu/17.png
18,Kentucky Burger Combo,Kentucky burger + 1 Regular fries+ 1 Regular drink,950,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260714/Restaurants/kfc/menu/18.png
19,Mighty Zinger Combo,Mighty Zinger+ 1 Regular fries + 1 Regular drink,1050,TRUE,Ala-Carte-&-Combos,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260716/Restaurants/kfc/menu/19.png
20,Zinger Got Wings,2 Zinger Burgers + 2 Regular Drinks + Wings Bucket (6 pcs),1150,FALSE,Promotion,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260719/Restaurants/kfc/menu/20.png
21,Crispy Box,In mood for something crispy? Get 2 pcs Hot & Crispy Chicken + 1 Regular fries + 1 Regular drink + 1 Coleslaw,710,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260723/Restaurants/kfc/menu/21.png
22,Boneless Box,Hassle free boneless experience with 4 Chicken strips + 1 Coleslaw + 1 Regular fries + 1 Regular drink + 1 Dip + 1 Dinner roll,710,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260727/Restaurants/kfc/menu/22.png
23,Wow Box,Feel good with 1 Signature Zinger + 1 pc Hot & Crispy Chicken + 1 Regular fries + 1 Regular drink + 1 Coleslaw,1050,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260731/Restaurants/kfc/menu/23.png
24,Crispy Duo Box,Turn up the fun with 5 pcs Hot & Crispy Chicken + 1 Large fries + 2 Regular drinks,1350,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260734/Restaurants/kfc/menu/24.png
25,Xtreme Duo Box,The irresistible combo of 2 Signature Zingers + 2 pcs Hot & Crispy Chicken + 1 Large fries + 2 Regular drinks,1560,TRUE,Signature-Boxes,https://res.cloudinary.com/dugce9wqz/image/upload/v1738260737/Restaurants/kfc/menu/25.png
